"","id","accession_number","artist","artistRole","artistId","title","dateText","medium","creditLine","year","acquisitionYear","dimensions","width","height","depth","units","inscription","thumbnailCopyright","thumbnailUrl","url"
"14510",39063,"D11689","Turner, Joseph Mallord William","artist",558,"Blank","c.1816–18","","Accepted by the nation as part of the Turner Bequest 1856","1816",1856,"support: 149 x 93 mm","149","93",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d11689"
"43930",4185,"N05692","Eurich, Richard","artist",1071,"Survivors from a Torpedoed Ship","1942","Oil paint on canvas","Presented by the War Artists Advisory Committee 1946","1942",1946,"support: 356 x 610 mm frame: 518 x 772 x 78 mm","356","610",NA,"mm","date inscribed","","http://www.tate.org.uk/art/images/work/N/N05/N05692_8.jpg","http://www.tate.org.uk/art/artworks/eurich-survivors-from-a-torpedoed-ship-n05692"
"66639",25594,"T11273","Barlow, Francis","after",20,"[title not known]","date not known","Engraving and etching on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","",1997,"image: 126 x 187 mm","126","187",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T11/T11273_8.jpg","http://www.tate.org.uk/art/artworks/barlow-title-not-known-t11273"
"3692",28210,"D00797","Turner, Joseph Mallord William","artist",558,"Blank","1796","","Accepted by the nation as part of the Turner Bequest 1856","1796",1856,"support: 110 x 129 mm","110","129",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D00/D00797_8.jpg","http://www.tate.org.uk/art/artworks/turner-blank-d00797"
"55272",114541,"P79949","Mantz, Werner","artist",14941,"Communion bench, Kreneheide 1935","1935, printed 1977","Photograph, gelatin silver print on paper","Purchased with funds provided by the Photography Acquisitions Committee 2011","1935",2011,"image: 224 x 167 mm","224","167",NA,"mm","","","http://www.tate.org.uk/art/images/work/P/P79/P79949_8.jpg","http://www.tate.org.uk/art/artworks/mantz-communion-bench-kreneheide-1935-p79949"
"27414",52026,"D24689","Turner, Joseph Mallord William","artist",558,"Bridge of St-Cloud from Sèvres","c.1833","Gouache and watercolour on paper","Accepted by the nation as part of the Turner Bequest 1856","1833",1856,"support: 140 x 191 mm","140","191",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D24/D24689_8.jpg","http://www.tate.org.uk/art/artworks/turner-bridge-of-st-cloud-from-sevres-d24689"
"67293",84800,"T11931","Graham, Rodney","artist",7810,"[La Véranda]","1989","2 books","Purchased from funds provided by the Mary Joy Thomson Bequest 2005","1989",2005,"object: 170 x 115 x 15 mm","170","115",15,"mm","","© Rodney Graham, courtesy Donald Young Gallery, Chicago","http://www.tate.org.uk/art/images/work/T/T11/T11931_8.jpg","http://www.tate.org.uk/art/artworks/graham-la-veranda-t11931"
"45120",8240,"P01764","Kunst, Mauro","artist",1448,"Black on White","1969","Screenprint on paper","Presented by John Berry 1976","1969",1976,"image: 457 x 457 mm","457","457",NA,"mm","date inscribed","","","http://www.tate.org.uk/art/artworks/kunst-black-on-white-p01764"
"42054",13426,"N03202","Siddal, Elizabeth Eleanor","artist",494,"Lady Affixing Pennant to a Knight’s Spear","c.1856","Watercolour on paper","Bequeathed by W.C. Alexander 1917","1856",1917,"support: 137 x 137 mm frame: 378 x 378 x 23 mm","137","137",NA,"mm","","","http://www.tate.org.uk/art/images/work/N/N03/N03202_8.jpg","http://www.tate.org.uk/art/artworks/siddal-lady-affixing-pennant-to-a-knights-spear-n03202"
"60126",15361,"T04692","Turner, Joseph Mallord William","after",558,"Between Clairmont and Mauves","1833","Line engraving on paper","Purchased 1986","1833",1986,"image: 99 x 134 mm","99","134",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T04/T04692_8.jpg","http://www.tate.org.uk/art/artworks/turner-between-clairmont-and-mauves-t04692"
"49941",2317,"P07911","Clough, Prunella","artist",921,"Kippers","1954","Etching on paper","Purchased 1984","1954",1984,"image: 100 x 149 mm","100","149",NA,"mm","date inscribed","© The estate of Prunella Clough","http://www.tate.org.uk/art/images/work/P/P07/P07911_8.jpg","http://www.tate.org.uk/art/artworks/clough-kippers-p07911"
"45708",9879,"P02357","Moore, Henry, OM, CH","artist",1659,"White Forms","1966–9","Lithograph on paper","Presented by the artist 1976","1966",1976,"image: 483 x 403 mm","483","403",NA,"mm","date inscribed","© The Henry Moore Foundation; All rights reserved DACS 2014","http://www.tate.org.uk/art/images/work/P/P02/P02357_8.jpg","http://www.tate.org.uk/art/artworks/moore-white-forms-p02357"
"5873",30401,"D03005","Turner, Joseph Mallord William","artist",558,"Ben Cruachan Seen across Loch Awe from Cladich","1801","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1801",1856,"support: 182 x 114 mm","182","114",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D03/D03005_8.jpg","http://www.tate.org.uk/art/artworks/turner-ben-cruachan-seen-across-loch-awe-from-cladich-d03005"
"12495",37047,"D09668","Turner, Joseph Mallord William","artist",558,"Inscription by Turner: Draft of Poetry","1814","Pen and ink on paper","Accepted by the nation as part of the Turner Bequest 1856","1814",1856,"support: 178 x 110 mm","178","110",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D09/D09668_8.jpg","http://www.tate.org.uk/art/artworks/turner-inscription-by-turner-draft-of-poetry-d09668"
"5838",30366,"D02963","Turner, Joseph Mallord William","artist",558,"Dunglass Castle, with Distant View of Dumbarton Rock","1801","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1801",1856,"support: 182 x 114 mm","182","114",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D02/D02963_8.jpg","http://www.tate.org.uk/art/artworks/turner-dunglass-castle-with-distant-view-of-dumbarton-rock-d02963"
"64648",24019,"T09282","Wilson, Richard","artist",606,"A Circular Altar","date not known","Graphite on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","",1997,"support: 157 x 125 mm","157","125",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T09/T09282_8.jpg","http://www.tate.org.uk/art/artworks/wilson-a-circular-altar-t09282"
"63087",116,"T07700","Douglas, Stan","artist",3038,"Win, Place or Show","1998","Video, 2 projections, colour and sound (stereo)","Purchased with assistance from the American Fund for the Tate Gallery and the Art Fund 2001","1998",2001,"","","",NA,"","","","","http://www.tate.org.uk/art/artworks/douglas-win-place-or-show-t07700"
"54391",83754,"P79053","Schütte, Thomas","artist",2374,"[no title]","2001","Etching on paper","Purchased 2003","2001",2003,"support: 447 x 320 mm","447","320",NA,"mm","","","","http://www.tate.org.uk/art/artworks/schutte-no-title-p79053"
"13790",38343,"D10968","Turner, Joseph Mallord William","artist",558,"Middleham Castle from the South-East","1816","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1816",1856,"support: 154 x 97 mm","154","97",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D10/D10968_8.jpg","http://www.tate.org.uk/art/artworks/turner-middleham-castle-from-the-south-east-d10968"
"17733",42293,"D14936","Turner, Joseph Mallord William","artist",558,"Ponte San Rocco and the Grand Cascade, Tivoli","1819","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1819",1856,"support: 186 x 112 mm","186","112",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D14/D14936_8.jpg","http://www.tate.org.uk/art/artworks/turner-ponte-san-rocco-and-the-grand-cascade-tivoli-d14936"
"1945",97265,"AR00207","Mapplethorpe, Robert","artist",11413,"Keith Haring","1984","Photograph, gelatine silver print on paper","ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008","1984",2009,"support: 374 x 375 mm","374","375",NA,"mm","","© Robert Mapplethorpe Foundation","http://www.tate.org.uk/art/images/work/AR/AR00207_8.jpg","http://www.tate.org.uk/art/artworks/mapplethorpe-keith-haring-ar00207"
"32370",57005,"D29743","Turner, Joseph Mallord William","artist",558,"(1) Namur: The Citadel and View down the Meuse; (2) Kastel and the Entrance to the Main from Mainz","1833","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1833",1856,"support: 113 x 185 mm","113","185",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D29/D29743_8.jpg","http://www.tate.org.uk/art/artworks/turner-1-namur-the-citadel-and-view-down-the-meuse-2-kastel-and-the-entrance-to-the-main-d29743"
"52164",19494,"P20004","Le Brun, Christopher, PRA","artist",1481,"[no title]","1990","Etching on paper","Presented by the artist and Charles Booth-Clibborn 1991","1990",1991,"image: 178 x 128 mm","178","128",NA,"mm","","© Christopher Le Brun","http://www.tate.org.uk/art/images/work/P/P20/P20004_8.jpg","http://www.tate.org.uk/art/artworks/le-brun-no-title-p20004"
"26279",50891,"D23554","Turner, Joseph Mallord William","artist",558,"Sketches at Caudebec","?1832","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1832",1856,"support: 114 x 187 mm","114","187",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D23/D23554_8.jpg","http://www.tate.org.uk/art/artworks/turner-sketches-at-caudebec-d23554"
"16534",41090,"D13723","Turner, Joseph Mallord William","artist",558,"Borthwick Castle","1818","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1818",1856,"support: 112 x 186 mm","112","186",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D13/D13723_8.jpg","http://www.tate.org.uk/art/artworks/turner-borthwick-castle-d13723"
"55330",117170,"P80007","Hamilton, Richard","artist",1244,"Of the tribe of Finn","1982","Etching, aquatint and drypoint on paper","Purchased 2011","1982",2012,"image: 227 x 225 mm","227","225",NA,"mm","","","","http://www.tate.org.uk/art/artworks/hamilton-of-the-tribe-of-finn-p80007"
"14260",38813,"D11438","Turner, Joseph Mallord William","artist",558,"Blank","c.1816","","Accepted by the nation as part of the Turner Bequest 1856","1816",1856,"support: 125 x 200 mm","125","200",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d11438"
"10097",34644,"D07255","Turner, Joseph Mallord William","artist",558,"Accounts (Inscriptions by Turner)","1808","Pen and ink and graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1808",1856,"support: 109 x 186 mm","109","186",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D07/D07255_8.jpg","http://www.tate.org.uk/art/artworks/turner-accounts-inscriptions-by-turner-d07255"
"43499",16469,"N05202","Woodville, Richard Caton","artist",611,"Napoleon Crossing the Bridge to Lobau Island","1912","Oil paint on wood","Presented by Charles Pratt 1940","1912",1940,"support: 356 x 251 mm","356","251",NA,"mm","date inscribed","","http://www.tate.org.uk/art/images/work/N/N05/N05202_8.jpg","http://www.tate.org.uk/art/artworks/woodville-napoleon-crossing-the-bridge-to-lobau-island-n05202"
"21321",45890,"D18537","Turner, Joseph Mallord William","artist",558,"Ships","1821","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1821",1856,"support: 113 x 189 mm","113","189",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D18/D18537_8.jpg","http://www.tate.org.uk/art/artworks/turner-ships-d18537"
"15849",40405,"D13037","Turner, Joseph Mallord William","artist",558,"[blank]","1817","","Accepted by the nation as part of the Turner Bequest 1856","1817",1856,"support: 156 x 93 mm","156","93",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d13037"
"21615",46189,"D18836","Turner, Joseph Mallord William","artist",558,"[blank]","c.1825","","Accepted by the nation as part of the Turner Bequest 1856","1825",1856,"support: 113 x 187 mm","113","187",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d18836"
"53130",20817,"P77622","Fulton, Hamish","artist",1133,"Song Path","1992, 1993","Screenprint on paper","Purchased 1993","1992",1993,"image: 626 x 934 mm","626","934",NA,"mm","","© Hamish Fulton","http://www.tate.org.uk/art/images/work/P/P77/P77622_8.jpg","http://www.tate.org.uk/art/artworks/fulton-song-path-p77622"
"66227",24697,"T10861","Flaxman, John","artist",186,"[title not known]","date not known","Graphite, pen and watercolour on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","",1997,"support: 198 x 156 mm","198","156",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T10/T10861_8.jpg","http://www.tate.org.uk/art/artworks/flaxman-title-not-known-t10861"
"35634",60274,"D33092","Turner, Joseph Mallord William","artist",558,"Lucerne, with Pilatus","c.1841","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1841",1856,"support: 165 x 74 mm","165","74",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D33/D33092_8.jpg","http://www.tate.org.uk/art/artworks/turner-lucerne-with-pilatus-d33092"
"25315",49927,"D22589","Turner, Joseph Mallord William","artist",558,"[blank]","c.1830","","Accepted by the nation as part of the Turner Bequest 1856","1830",1856,"support: 114 x 182 mm","114","182",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d22589"
"32182",56816,"D29553","Turner, Joseph Mallord William","artist",558,"?Mirabeau [Turner]","c.1835–40","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1835",1856,"support: 146 x 103 mm","146","103",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D29/D29553_8.jpg","http://www.tate.org.uk/art/artworks/turner-mirabeau-turner-d29553"
"54206",78051,"P78777","Orozco, Gabriel","artist",2685,"[no title]","2002","Etching on paper","Purchased 2003","2002",2003,"image: 200 x 165 mm","200","165",NA,"mm","","© Gabriel Orozco, courtesy Marian Goodman Gallery, NY","http://www.tate.org.uk/art/images/work/P/P78/P78777_8.jpg","http://www.tate.org.uk/art/artworks/orozco-no-title-p78777"
"69042",93570,"T13710","Clark, Lygia","artist",7714,"Creature-Maquette (320)","1964","Aluminium","Presented by the American Fund for the Tate Gallery 2012","1964",2013,"unconfirmed","","",NA,"","","","","http://www.tate.org.uk/art/artworks/clark-creature-maquette-320-t13710"
"8216",32755,"D05363","Turner, Joseph Mallord William","artist",558,"Blank","c.1804–9","","Accepted by the nation as part of the Turner Bequest 1856","1804",1856,"support: 358 x 370 mm","358","370",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d05363"
"29883",54508,"D27173","Turner, Joseph Mallord William","artist",558,"Blank","c.1831","","Accepted by the nation as part of the Turner Bequest 1856","1831",1856,"support: 164 x 103 mm","164","103",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D27/D27173_8.jpg","http://www.tate.org.uk/art/artworks/turner-blank-d27173"
"50096",5240,"P08070","Gill, Eric","artist",1168,"Ascension","1918","Wood engraving on paper","Transferred from the Library 1979","1918",1979,"image: 140 x 89 mm","140","89",NA,"mm","","","http://www.tate.org.uk/art/images/work/P/P08/P08070_8.jpg","http://www.tate.org.uk/art/artworks/gill-ascension-p08070"
"61692",19994,"T06266","Turner, Joseph Mallord William","after",558,"Hougoumont (Vignette), engraved by W. Miller","published 1836","Engraving on paper","Transferred from the British Museum 1988","1836",1988,"","","",NA,"","","","http://www.tate.org.uk/art/images/work/T/T06/T06266_8.jpg","http://www.tate.org.uk/art/artworks/turner-hougoumont-vignette-engraved-by-w-miller-t06266"
"19638",44204,"D16848","Turner, Joseph Mallord William","artist",558,"Sketches of Two Paintings by Claude from the Barberini and Sciarra Collections, Rome","1819","","Accepted by the nation as part of the Turner Bequest 1856","1819",1856,"support: 115 x 94 mm","115","94",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D16/D16848_8.jpg","http://www.tate.org.uk/art/artworks/turner-sketches-of-two-paintings-by-claude-from-the-barberini-and-sciarra-collections-rome-d16848"
"50105",5249,"P08079","Gill, Eric","artist",1168,"New England Woods","1920","Wood engraving on paper","Transferred from the Library 1979","1920",1979,"image: 89 x 57 mm","89","57",NA,"mm","","","http://www.tate.org.uk/art/images/work/P/P08/P08079_8.jpg","http://www.tate.org.uk/art/artworks/gill-new-england-woods-p08079"
"67558",87211,"T12212","Dean, Tacita","artist",2675,"Palast","2004","Film, 16 mm, projection, colour and sound","Presented by Tate Members 2006","2004",2006,"duration: 10min, 30sec","","",NA,"","","© Tacita Dean, courtesy Frith Street Gallery, London and Marian Goodman Gallery, New York/Paris","http://www.tate.org.uk/art/images/work/T/T12/T12212_8.jpg","http://www.tate.org.uk/art/artworks/dean-palast-t12212"
"66119",25134,"T10753","British (?) School","artist",2638,"[title not known]","date not known","Graphite and ink on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","",1997,"support: 103 x 135 mm","103","135",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T10/T10753_8.jpg","http://www.tate.org.uk/art/artworks/british-school-title-not-known-t10753"
"50444",67940,"P09191","Tyson, Ian","artist",2081,"X","1976–7","Screenprint on paper","Purchased 1980","1976",1980,"unconfirmed: 502 x 698 mm","502","698",NA,"mm","","© Ian Tyson","http://www.tate.org.uk/art/images/work/P/P09/P09191_8.jpg","http://www.tate.org.uk/art/artworks/tyson-x-p09191"
"32873",57508,"D30248","Turner, Joseph Mallord William","artist",558,"(1)-(4) The Danube just above Grein, from Successive Viewpoints Moving Downstream; (5) Grein","1833","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1833",1856,"support: 159 x 99 mm","159","99",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D30/D30248_8.jpg","http://www.tate.org.uk/art/artworks/turner-1-4-the-danube-just-above-grein-from-successive-viewpoints-moving-downstream-5-d30248"
"12800",37352,"D09974","Turner, Joseph Mallord William","artist",558,"A Chart or Diagram Relating to Varnishes","c.1813","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1813",1856,"support: 88 x 113 mm","88","113",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D09/D09974_8.jpg","http://www.tate.org.uk/art/artworks/turner-a-chart-or-diagram-relating-to-varnishes-d09974"
"361",7394,"A00364","Jones, George","artist",300,"[title not known]","date not known","Ink on paper","Presented by the artist's widow 1888","",1888,"","","",NA,"","","","http://www.tate.org.uk/art/images/work/A/A00/A00364_8.jpg","http://www.tate.org.uk/art/artworks/jones-title-not-known-a00364"
"9566",34107,"D06716","Turner, Joseph Mallord William","artist",558,"Ploughing Scene, with Horses","1807","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1807",1856,"support: 118 x 187 mm","118","187",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D06/D06716_8.jpg","http://www.tate.org.uk/art/artworks/turner-ploughing-scene-with-horses-d06716"
"23522",48132,"D20789","Turner, Joseph Mallord William","artist",558,"View of the Solent","c.1827","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1827",1856,"support: 110 x 185 mm","110","185",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D20/D20789_8.jpg","http://www.tate.org.uk/art/artworks/turner-view-of-the-solent-d20789"
"7564",32102,"D04709","Turner, Joseph Mallord William","artist",558,"?A Town by a River","1802","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1802",1856,"support: 156 x 201 mm","156","201",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D04/D04709_8.jpg","http://www.tate.org.uk/art/artworks/turner-a-town-by-a-river-d04709"
"36779",61422,"D34254","Turner, Joseph Mallord William","artist",558,"Valley, with Mountains","c.1830–41","Chalk and graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1830",1856,"support: 106 x 144 mm","106","144",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D34/D34254_8.jpg","http://www.tate.org.uk/art/artworks/turner-valley-with-mountains-d34254"
"48858",5099,"P06641","Gentleman, David","artist",1148,"Great Roman Bath","1975","Lithograph on paper","Presented by Curwen Studio 1976","1975",1976,"image: 390 x 512 mm","390","512",NA,"mm","","© David Gentleman","http://www.tate.org.uk/art/images/work/P/P06/P06641_8.jpg","http://www.tate.org.uk/art/artworks/gentleman-great-roman-bath-p06641"
"40164",64837,"D41091","Turner, Joseph Mallord William","artist",558,"The Roche à Bayard, Looking Upstream from the Dinant Road; A Belgian Woman","1834","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1834",1856,"support: 154 x 94 mm","154","94",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D41/D41091_8.jpg","http://www.tate.org.uk/art/artworks/turner-the-roche-a-bayard-looking-upstream-from-the-dinant-road-a-belgian-woman-d41091"
"61731",20033,"T06305","Turner, Joseph Mallord William","after",558,"Fishing Boats: a Coast Scene, engraved by J. Cousen","published 1859–61","Engraving on paper","Transferred from the British Museum 1988","1859",1988,"","","",NA,"","","","http://www.tate.org.uk/art/images/work/T/T06/T06305_8.jpg","http://www.tate.org.uk/art/artworks/turner-fishing-boats-a-coast-scene-engraved-by-j-cousen-t06305"
"18310",42870,"D15514","Turner, Joseph Mallord William","artist",558,"The So-Called Temple of Vesta, Tivoli","1819","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1819",1856,"support: 253 x 200 mm","253","200",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D15/D15514_8.jpg","http://www.tate.org.uk/art/artworks/turner-the-so-called-temple-of-vesta-tivoli-d15514"
"48999",5165,"P06782","Gibbs, Evelyn","artist",1162,"Santu Pietru","1977","Lithograph on paper","Presented by Curwen Studio 1978","1977",1978,"image: 505 x 670 mm","505","670",NA,"mm","","© Estate of Evelyn Gibbs","http://www.tate.org.uk/art/images/work/P/P06/P06782_8.jpg","http://www.tate.org.uk/art/artworks/gibbs-santu-pietru-p06782"
"24743",49355,"D22017","Turner, Joseph Mallord William","artist",558,"The Ruins of Dudley Priory with Dudley Castle Above","1830","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1830",1856,"support: 120 x 203 mm","120","203",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D22/D22017_8.jpg","http://www.tate.org.uk/art/artworks/turner-the-ruins-of-dudley-priory-with-dudley-castle-above-d22017"
"11392",35943,"D08556","Turner, Joseph Mallord William","artist",558,"Blank","1811","","Accepted by the nation as part of the Turner Bequest 1856","1811",1856,"support: 117 x 75 mm","117","75",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d08556"
"15695",40248,"D12880","Turner, Joseph Mallord William","artist",558,"The Watch Towers at Andernach with the Town’s Western Walls to its Right and Old Houses","1817","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1817",1856,"support: 150 x 94 mm","150","94",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D12/D12880_8.jpg","http://www.tate.org.uk/art/artworks/turner-the-watch-towers-at-andernach-with-the-towns-western-walls-to-its-right-and-old-d12880"
"28977",53602,"D26265","Turner, Joseph Mallord William","artist",558,"Falls of Clyde: Cora Linn","1834","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1834",1856,"support: 113 x 190 mm","113","190",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D26/D26265_8.jpg","http://www.tate.org.uk/art/artworks/turner-falls-of-clyde-cora-linn-d26265"
"22233",46807,"D19454","Turner, Joseph Mallord William","artist",558,"Buildings on River, with Ehrenbreitstein in Distance","c.1825","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1825",1856,"support: 113 x 189 mm","113","189",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D19/D19454_8.jpg","http://www.tate.org.uk/art/artworks/turner-buildings-on-river-with-ehrenbreitstein-in-distance-d19454"
"16501",41057,"D13690","Turner, Joseph Mallord William","artist",558,"Edinburgh, from near Dean Cemetery","1818","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1818",1856,"support: 112 x 186 mm","112","186",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D13/D13690_8.jpg","http://www.tate.org.uk/art/artworks/turner-edinburgh-from-near-dean-cemetery-d13690"
"25525",50137,"D22800","Turner, Joseph Mallord William","artist",558,"Bridge, with Castle in Mid-Distance. Eden B. [Turner]","c.1830","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1830",1856,"support: 68 x 110 mm","68","110",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D22/D22800_8.jpg","http://www.tate.org.uk/art/artworks/turner-bridge-with-castle-in-mid-distance-eden-b-turner-d22800"
"39201",63868,"D40100","Turner, Joseph Mallord William","artist",558,"[title not known]","date not known","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","",1856,"support: 196 x 146 mm","196","146",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D40/D40100_8.jpg","http://www.tate.org.uk/art/artworks/turner-title-not-known-d40100"
"28927",53552,"D26215","Turner, Joseph Mallord William","artist",558,"Kent Coast, from the Sea","1834","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1834",1856,"support: 111 x 181 mm","111","181",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D26/D26215_8.jpg","http://www.tate.org.uk/art/artworks/turner-kent-coast-from-the-sea-d26215"
"18214",42774,"D15418","Turner, Joseph Mallord William","artist",558,"Two Views of the Forum, Rome","1819","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1819",1856,"support: 113 x 189 mm","113","189",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D15/D15418_8.jpg","http://www.tate.org.uk/art/artworks/turner-two-views-of-the-forum-rome-d15418"
"7337",31868,"D04475","Turner, Joseph Mallord William","artist",558,"Blank","1802","","Accepted by the nation as part of the Turner Bequest 1856","1802",1856,"support: 215 x 138 mm","215","138",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d04475"
"64628",23980,"T09262","Wheatley, Francis","artist",597,"Enniskerry","1783","Graphite and watercolour on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","1783",1997,"support: 167 x 267 mm","167","267",NA,"mm","date inscribed","","http://www.tate.org.uk/art/images/work/T/T09/T09262_8.jpg","http://www.tate.org.uk/art/artworks/wheatley-enniskerry-t09262"
"54950",96246,"P79621","Ferrari, León","artist",10613,"[no title]","1976–7, enlarged version 2007","Digital print on paper","Presented by Alicia and León Ferrari 2008","1976",2009,"support: 420 x 297 mm","420","297",NA,"mm","","© Leon Ferrari","http://www.tate.org.uk/art/images/work/P/P79/P79621_8.jpg","http://www.tate.org.uk/art/artworks/ferrari-no-title-p79621"
"60158",15393,"T04724","Turner, Joseph Mallord William","after",558,"Confluence of the Seine and Marne","1835","Line engraving on paper","Purchased 1986","1835",1986,"image: 99 x 137 mm","99","137",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T04/T04724_8.jpg","http://www.tate.org.uk/art/artworks/turner-confluence-of-the-seine-and-marne-t04724"
"53644",26337,"P78156","Kirkeby, Per","artist",2238,"[no title]","1995","Etching on paper","Purchased 1998","1995",1998,"image: 198 x 136 mm","198","136",NA,"mm","","© Per Kirkeby","http://www.tate.org.uk/art/images/work/P/P78/P78156_8.jpg","http://www.tate.org.uk/art/artworks/kirkeby-no-title-p78156"
"8853",33392,"D06001","Turner, Joseph Mallord William","artist",558,"Walton Bridges","c.1807","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1807",1856,"support: 92 x 163 mm","92","163",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D06/D06001_8.jpg","http://www.tate.org.uk/art/artworks/turner-walton-bridges-d06001"
"30186",54811,"D27484","Turner, Joseph Mallord William","artist",558,"Standing Figure, with One Arm Raised","c.1832","Chalk on paper","Accepted by the nation as part of the Turner Bequest 1856","1832",1856,"support: 184 x 72 mm","184","72",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D27/D27484_8.jpg","http://www.tate.org.uk/art/artworks/turner-standing-figure-with-one-arm-raised-d27484"
